X Position (cm),Z Position (cm)
-184.31016770075394,-159.28770623429372
-184.43505051142404,-157.5996519910162
-184.66793968768883,-155.74171465856128
-184.8820795525933,-153.6722537012902
-185.06995031884685,-151.34925761149486
-185.29654023451496,-148.78681434268958
-185.60450049670573,-146.0522380371513
-185.97918001343717,-143.22265231826023
-186.37918364128706,-140.35160755800928
-186.77338650655528,-137.46541975799633
-187.1511267512561,-134.57429836025545
-187.51474777875973,-131.68186789426727
-187.87032312650823,-128.78946127642212
-188.22287319589515,-125.89749765533358
-188.57523645752102,-123.00600817533545
-188.92826233348944,-120.11485968814097
-189.28190784601463,-117.22378746256958
-189.6362683751252,-114.33251687151018
-189.99191858211526,-111.44091819706695
-190.3497203888902,-108.54902250329661
-190.71041295305682,-105.65691433876309
-191.074204981242,-102.7646826611632
-191.44052214158057,-99.87245147137259
-191.80813712539847,-96.98034693706163
-192.17575491607312,-94.08835354974488
-192.54283844541152,-91.1962398670036
-192.91012588107947,-88.30367426349645
-193.2791557978227,-85.41040876653389
-193.65075954053324,-82.51632755155866
-194.02380532292565,-79.62137655436398
-194.3957039301716,-76.72554612877755
-194.76436307995394,-73.82898467797534
-195.1295431167482,-70.93205698481144
-195.49242743966374,-68.03517700808018
-195.8543050220199,-65.1385587353093
-196.2158368235328,-62.24218246105743
-196.57727270847144,-59.345972773414154
-196.93901811014595,-56.44992769753243
-197.30185953353006,-53.554085631534534
-197.6666601515042,-50.658492905531524
-198.03378149648623,-47.763272456050096
-198.4026296252432,-44.86863960502414
-198.77162602953882,-41.97471771189686
-199.1387475785262,-39.08136632106281
-199.50241224581552,-36.188347049804264
-199.8620878237272,-33.29570676649824
-200.21809435022794,-30.40382679758095
-200.57087531447615,-27.512941733920798
-200.92061795570345,-24.622681907344653
-201.26762714886172,-21.73223801066216
-201.61274128377093,-18.840889258378716
-201.95702130202687,-15.948237273357238
-202.3012535746092,-13.0540982253783
-202.64629230589978,-10.158458719604813
-202.99380617020105,-7.261769591465381
-203.34609165952818,-4.3658364289475085
-203.7045270328469,-1.4775433544700722
-204.0668631018522,1.3784923695556177
-204.42294113126346,4.1304018081519205
-204.74931762666856,6.6162589747715215
-205.00738373056942,8.56411661763242
-205.1521511071423,9.651745853385314
